Plugin,Menu,Section,Type,English,Japanese
"LazyCrucible","","","@Window","LazyCrucible",""
"LazyCrucible","","","","(no fight in focus)","(焦点が合っている戦闘はありません)"
"LazyCrucible","","","","/lazycrucible guide",""
"LazyCrucible","","","","1##gb",""
"LazyCrucible","","","","1##lcBoard",""
"LazyCrucible","","","","10-tonze Stomp (7 s)","10トンストンプ(7秒)"
"LazyCrucible","","","","100% paralysis resist: Antiparalysis serum, Crimson Ribbon, Genji Gloves or Morel","麻痺耐性100%：麻痺血清、クリムゾンリボン、ゲンジグローブ、モレル"
"LazyCrucible","","","","100% poison resist: Breathtaking Swiftness potion, Antipoison G2, Angel Robe or Porcini","100% 毒耐性: 息を呑む素早さ 薬品、アンチポイズン G2、エンジェル ローブ、またはポルチーニ"
"LazyCrucible","","","","100-kuponze Swipe (8 s)","100クポンゼスワイプ(8秒)"
"LazyCrucible","","","","100-tonze Slash (9 s)","100トン斬り（9秒）"
"LazyCrucible","","","","1000-tonze Swing (10 s)","1000トンのスイング（10秒）"
"LazyCrucible","","","","1000-tonze Swipe (7 s)","1000 トンのスワイプ (7 秒)"
"LazyCrucible","","","","1111-tonze Swing (8 s)","1111トンのスイング(8秒)"
"LazyCrucible","","","","2##gb",""
"LazyCrucible","","","","2##lcBoard",""
"LazyCrucible","","","","3##gb",""
"LazyCrucible","","","","3##lcBoard",""
"LazyCrucible","","","","4##gb",""
"LazyCrucible","","","","4##lcBoard",""
"LazyCrucible","","","","5##gb",""
"LazyCrucible","","","","5##lcBoard",""
"LazyCrucible","","","","A Blink tome at the start","開始 の瞬きの本"
"LazyCrucible","","","","A dispel for Clear Mind: Quelling Wave (Wavekin), Bloodcurdling Caw (vulture) or Fang of Water","Clear Mindのディスペル：Quelling Wave (Wavekin)、Bloodcurdling Caw (ハゲワシ)、またはFang of Water"
"LazyCrucible","","","","A fang, or a stunning AoE release then Parting Blow, for the adds","ファング、または驚異的な範囲 リリース に続いて別れの一撃を加えます。"
"LazyCrucible","","","","A stun or bind for the Ymir once its shell breaks","スタン、またはシェルが壊れた後のユミルのバインド"
"LazyCrucible","","","","A stunning AoE release then Parting Blow, or Shield Charge, for the add packs","雑魚敵／追加出現 パックの驚異的な AoE リリース とパーティティング ブロー、またはシールド チャージ"
"LazyCrucible","","","","Abaddon feeding","アバドンの餌付け"
"LazyCrucible","","","","Abyssal Charge (3 s)","アビサルチャージ(3秒)"
"LazyCrucible","","","","Abyssal Swing (5.7 s)","アビサルスイング(5.7秒)"
"LazyCrucible","","","","Abyssal Transfixion (3.7 s)","深淵の貫通(3.7秒)"
"LazyCrucible","","","","Acid Mist (4 s)","アシッドミスト (4秒)"
"LazyCrucible","","","","Acid Rain (2 s)","酸性雨 (2秒)"
"LazyCrucible","","","","Acorn Bomb (5 s)","ドングリボム(5秒)"
"LazyCrucible","","","","Adds",""
"LazyCrucible","","","","administrator piece (enemy, random space)","管理者ピース(敵、ランダムスペース)"
"LazyCrucible","","","","Administrator Piece + Bug Piece + Footman Piece + Dreadnaught Piece + Drone Piece + Cobra Piece","管理者のピース + バグのピース + フットマンのピース + ドレッドノートのピース + ドローンのピース + コブラのピース"
"LazyCrucible","","","","Administrator Piece + Bug Piece + Footman Piece + Dreadnaught Piece + Drone Piece + Cobra Piece (enemy, random)","管理者のピース + バグのピース + フットマンのピース + ドレッドノートのピース + ドローンのピース + コブラのピース (敵、ランダム)"
"LazyCrucible","","","","administrator piece: Lightning; bug piece: Lightning; footman piece: Lightning; dreadnaught piece: Lightning; drone piece: Lightning; cobra piece: Piercing","管理者作品: ライトニング;バグピース: ライトニング;フットマンピース: ライトニング;弩級の作品: ライトニング。ドローンピース: ライトニング;コブラピース：ピアス"
"LazyCrucible","","","","Aero III (12 s)","エアロ III (12 秒)"
"LazyCrucible","","","","Aetherial Fissure (6 s)","エテリアル裂け目(6秒)"
"LazyCrucible","","","","Aetherial Offering (5 s)","エセリアルの捧げ物（5秒）"
"LazyCrucible","","","","Aetheric charges (2 s)","エーテルチャージ(2秒)"
"LazyCrucible","","","","Airy Pursuit (3 s)","エアリー・パースート(3秒)"
"LazyCrucible","","","","Allfire (4 s)","オールファイア (4秒)"
"LazyCrucible","","","","An AoE Tempered Release or Parting Blow one-shots the adds","AoE 強化された リリース またはパーティング ブローのワンショットが追加されます"
"LazyCrucible","","","","An AoE Tempered Release or Parting Blow, and Shield Charges, for the wisps","ウィスプ用の AoE 強化 リリース または別れの一撃、およびシールド チャージ"
"LazyCrucible","","","","Ancient Aero (5.7 s)","古代のエアロ (5.7 秒)"
"LazyCrucible","","","","Angel Robe prevents the poison","エンジェルローブは毒を防ぐ"
"LazyCrucible","","","","Announce picks in chat","チャットで候補を発表する"
"LazyCrucible","","","","Antiblind serum for Sand Tempest","サンドテンペスト用アンチブラインドセラム"
