Plugin,Menu,Section,Type,English,Japanese
PandorasBox,,,, by Puni.sh,
PandorasBox,,,, by Taurenkey (Puni.sh),
PandorasBox,,,,/pcall,
PandorasBox,,,,/pcallback,
PandorasBox,,,,/pdfleave,
PandorasBox,,,,/pgl,
PandorasBox,,,,/pglamlink,
PandorasBox,,,,/pint,
PandorasBox,,,,/pinteract,
PandorasBox,,,,/plink,
PandorasBox,,,,/pmsq,
PandorasBox,,,,/pre,
PandorasBox,,,,/presetenmity,
PandorasBox,,,,/puseitem,
PandorasBox,,,,About,このプラグインについて
PandorasBox,,,,Action Combat Targeting,戦闘時のアクション対象を自動選択
PandorasBox,,,,Actions,アクション
PandorasBox,,,,Activates your tank stance automatically upon job switching or entering a dungeon.,タンクへジョブチェンジした時やコンテンツへ入った時、タンクスタンスを自動で有効にします。
PandorasBox,,,,"Add ""Open All"" to Coffers",宝箱アイテムに「すべて開ける」を追加
PandorasBox,,,,"addonName, updateStateBool, atkValues",
PandorasBox,,,,Adds a button to Aetherial Reduction to process all items.,精選画面に、対象アイテムをすべて精選するボタンを追加します。
PandorasBox,,,,Adds a button to the bottom of the saddlebag to entrust duplicates.,チョコボかばんの下部に、重複アイテムをまとめて預けるボタンを追加します。
PandorasBox,,,,Adds a button to the desynthesis window to desynth all from the current dropdown. (Disclaimer: Pandora takes no responsibility for the loss of any Ultimate weapons or other rare items. Please use responsibly.),分解画面に、現在選択中の一覧をすべて分解するボタンを追加します。（注意：絶武器などの希少品を失ってもPandoraは責任を負いません。十分確認して使用してください。）
PandorasBox,,,,Adds a button to the extract materia window to start extracting all.,マテリア精製画面に、すべて精製するボタンを追加します。
PandorasBox,,,,Adds a context menu to items whilst the FC chest is open to quickly deposit them.,カンパニーチェストを開いている間、アイテムの右クリックメニューに素早く預ける項目を追加します。
PandorasBox,,,,Adds a description of what stage a quest is for when talking to the NPC.,NPCとの会話時、そのクエストがどの段階のものか説明を表示します。
PandorasBox,,,,"Adds an ""Open All"" option to the right click menu of various items that stack and can be opened from the inventory.",所持品から開封できるスタック可能アイテムの右クリックメニューに「すべて開ける」を追加します。
PandorasBox,,,,Allows deciphering treaure maps from hotbar.,ホットバーから宝の地図を解読できるようにします。
PandorasBox,,,,Auto Active Time Maneuver,アクティブタイムマニューバーを自動操作
PandorasBox,,,,Auto-Collect,収集品採集を自動有効化
PandorasBox,,,,Auto-Commendation after Duty,コンテンツ終了後にMIP推薦を自動実行
PandorasBox,,,,Auto-Cordial,コーディアルを自動使用
PandorasBox,,,,Auto-Equip Recommended Gear,さいきょう装備を自動装備
