Plugin,Menu,Section,Type,English,Japanese
Artisan,,,Text/RenderTextWrapped, by Puni.sh, by Puni.sh
Artisan,,,Text/RenderTextWrapped, uses per craft, 1製作あたりの使用回数
Artisan,,,Text/RenderTextWrapped, when 状態 is:, 状態が次の場合：
Artisan,,,RadioButtonBool/RenderText,1st,1番目
Artisan,,,RadioButtonBool/RenderText,2nd,2番目
Artisan,,,RadioButtonBool/RenderText,3rd,3番目
Artisan,,,Text/RenderTextWrapped,Action Usage,アクション使用
Artisan,,,Text,Add new item.,新しい項目を追加
Artisan,,,RenderText,Add new items to lists this many times from context menu,コンテキストメニューからリストへ追加する回数
Artisan,,,Checkbox/RenderText,ALC,ALC
Artisan,,,Checkbox/RenderText,"Allow ""Backload 工数""",「Backload 工数」を許可
Artisan,,,Checkbox/RenderText,"Allow ""Ensure 100% reliability""",「100%成功保証」を許可
Artisan,,,Checkbox/RenderText,Allow specialist actions when available,使用可能なら専門家アクションを許可
Artisan,,,Text/RenderTextWrapped,Already Crafted Recipe,作成済みレシピ
Artisan,,,Text/RenderTextWrapped,Amount Result,数量結果
Artisan,,,Checkbox/RenderText,Apply to all valid crafts,対象となる全製作に適用
Artisan,,,Checkbox/RenderText,ARM,ARM
Artisan,,,Text/RenderTextWrapped,Artisan - 4.0.5.18,Artisan - 4.0.5.18
Artisan,,,Text/RenderTextWrapped,Artisan - Overview,Artisan - 概要
Artisan,,,Text/RenderTextWrapped,"Artisan also has the ability to create a list of items and have it start crafting each of them, one after another, automatically. Crafting lists have a lot of powerful tools to streamline the process of going from materials to final products. It also supports importing and exporting to Teamcraft.",Artisanでは製作物のリストを作成し、上から順に自動製作できます。製作リストには素材から完成品までの工程を効率化するための機能があり、Teamcraftとのインポート／エクスポートにも対応しています。
Artisan,,,Text/RenderTextWrapped,"Artisan features an ""Automatic Action Execution Mode"" which merely takes the suggestions provided to it and performs the action on your behalf. By default, this will fire as fast as the game allows, which is faster than normal macros. You are not bypassing any sort of game restrictions doing this, however you can set a delay should you choose to. Enabling this has nothing to do with the suggestion making process Artisan uses by default.",Artisanには「アクション自動実行モード」があり、提示した推奨アクションを代わりに実行します。標準ではゲームが許す最速間隔で動作し、通常のマクロより高速です。ゲーム側の制限を回避するものではなく、必要なら遅延を設定できます。この設定はArtisanの推奨アクション算出には影響しません。
Artisan,,,Text/RenderTextWrapped,Artisan Windows,Artisanウィンドウ
Artisan,,,Text/RenderTextWrapped,Auto Action Mode,アクション自動実行
Artisan,,,Checkbox/RenderText,Automatic action execution mode,アクション自動実行モード
Artisan,,,Checkbox/RenderText,Automatic Repairs,自動修理
Artisan,,,Text/RenderTextWrapped,Automatic Usage,自動使用
Artisan,,,Checkbox/RenderText,Automatically adjust all sub-crafts after changing quantities,数量変更後、すべての中間素材数を自動調整
Artisan,,,Checkbox/RenderText,Automatically Extract Materia,マテリアを自動精製
Artisan,,,Checkbox/RenderText,Automatically extract materia from spiritbonded gear,錬精度100%の装備からマテリアを自動精製
Artisan,,,Checkbox/RenderText,Automatically generate a Raphael macro if a valid one hasn't been created,有効なRaphaelマクロがない場合、自動生成
Artisan,,,Checkbox/RenderText,Automatically generate on expert recipes,高難度レシピでも自動生成
Artisan,,,Checkbox/RenderText,Automatically repair gear,装備を自動修理
Artisan,,,Checkbox/RenderText,Automatically switch to the Raphael macro once one has been created,Raphaelマクロ作成後、自動でそのマクロへ切り替え
Artisan,,,Text/RenderTextWrapped,Automation,自動化
Artisan,,,Text/RenderTextWrapped,Base Stats,基本ステータス
Artisan,,,Text/RenderTextWrapped,"Before you get started with Artisan, we should go over a few things about how the plugin works. Artisan is simple to use once you understand a few key factors.",Artisanを使い始める前に、プラグインの基本的な仕組みを確認します。いくつかの要点を理解すれば簡単に使えます。
Artisan,,,Checkbox/RenderText,BSM,BSM
Artisan,,,Button,Build List,リストを作成
Artisan,,,Button,Build List (with subcrafts),リストを作成（中間素材を含む）
Artisan,,,Text/RenderTextWrapped,"By clicking the ""Execute recommended action"" button, you are instructing the plugin to perform the suggestion it has recommended. This considered semi-manual as you still have to click each action, but you don't have to worry about finding them on your hotbars. ""Full-Manual"" mode is performed by pressing the buttons on your hotbar as normal. You are provided with an aid by default as Artisan will highlight the action on your hotbar if it is slotted. (This can be disabled in the settings)",「推奨アクションを実行」ボタンを押すと、Artisanが提示した推奨アクションを実行します。毎回クリックが必要なので半手動ですが、ホットバーからアクションを探す必要はありません。「完全手動」では通常どおりホットバーを操作します。標準では推奨アクションがホットバー上で強調表示されます（設定で無効化可能）。
Artisan,,,Text/RenderTextWrapped,Click here to be taken to the Crafting List menu.,クリックして製作リストメニューへ移動
Artisan,,,Text/RenderTextWrapped,Click here to be taken to the Endurance menu.,クリックして連続製作メニューへ移動
Artisan,,,Text/RenderTextWrapped,Click here to be taken to the Macro menu.,クリックしてマクロメニューへ移動
Artisan,,,Text/RenderTextWrapped,Collectable Recipe,収集品レシピ
Artisan,,,Text/RenderTextWrapped,Consumables,消耗品
Artisan,,,Text/RenderTextWrapped,Copy Theme,テーマをコピー
Artisan,,,Text/RenderTextWrapped,Cosmic Exploration,コスモエクスプローラー
Artisan,,,Text/RenderTextWrapped,CP,CP
Artisan,,,Checkbox/RenderText,Craft only X times,指定回数だけ製作
Artisan,,,Selectable/Text/RenderTextWrapped,Crafting Lists,製作リスト
Artisan,,,Text/RenderTextWrapped,"Crafting lists are a fantastic way to queue up different crafts and have them craft one-by-one. Create a list by importing from Teamcraft using the button at the bottom, or click the '+' icon and give your list a name. You can also right click an item from the game's recipe menu to either add it to a new list if one is not selected, or to create a new list with it as the first item if a list is not selected.",製作リストでは複数の製作物をキューに入れ、順番に製作できます。画面下のボタンからTeamcraftのリストを取り込むか、「+」を押してリスト名を付けて作成します。ゲームの製作手帳からアイテムを右クリックして、選択中のリストへ追加したり、新しいリストの先頭項目として作成することもできます。
Artisan,,,Text/RenderTextWrapped,Crafting Modes,製作モード
Artisan,,,Text/RenderTextWrapped,Criteria,条件
Artisan,,,Checkbox/RenderText,CRP,CRP
Artisan,,,Checkbox/RenderText,CUL,CUL
Artisan,,,RenderText,Delay before resuming (seconds),再開までの待機時間（秒）
Artisan,,,RenderText,Delay between list crafts (seconds),リスト製作間の待機時間（秒）
Artisan,,,Button,Delete Entire Cache (Hold CTRL),キャッシュを全削除（CTRL長押し）
Artisan,,,Button,Delete Filtered Macros (Hold CTRL),絞り込み中のマクロを削除（CTRL長押し）
Artisan,,,Text/RenderTextWrapped,DEX,DEX
Artisan,,,Checkbox/RenderText,Disable Allagan Tools integration with crafting lists,製作リストとAllagan Toolsの連携を無効化
Artisan,,,Checkbox/RenderText,Disable auto-equipping required items for special recipes,特殊レシピで必要装備の自動装着を無効化
Artisan,,,Checkbox/RenderText,Disable context menu options,コンテキストメニュー項目を無効化
Artisan,,,Checkbox/RenderText,Disable Custom Theme,カスタムテーマを無効化
Artisan,,,Checkbox/RenderText,Disable Endurance and pause lists when Duty Finder is ready,コンテンツ突入可能時、連続製作を停止してリストを一時停止
Artisan,,,Checkbox/RenderText,Disable Endurance if unable to repair,修理できない場合、連続製作を停止
Artisan,,,Checkbox/RenderText,Disable Endurance Mode Upon Crafting an NQ item,NQ品を作成したら連続製作モードを停止
Artisan,,,Checkbox/RenderText,Disable Endurance Mode Upon Failed Craft,製作失敗時に連続製作モードを停止
Artisan,,,Checkbox/RenderText,Disable highlighting box,強調表示枠を無効化
Artisan,,,Checkbox/RenderText,Disable recommendation toasts,推奨通知を無効化
Artisan,,,Button,Discord,Discord
Artisan,,,Text/RenderTextWrapped,Discord server.,Discordサーバー
Artisan,,,Checkbox/RenderText,Dock mini-menu position to Crafting Log,ミニメニュー位置を製作手帳に固定
Artisan,,,RenderText,Don't use consumables when level difference with craft is greater than,レシピとのレベル差がこの値を超える場合、消耗品を使用しない
Artisan,,,Text/RenderTextWrapped,Duplicate Current Selection,現在の選択を複製
Artisan,,,Checkbox/RenderText,Enable Endurance Mode,連続製作モードを有効化
Artisan,,,Checkbox/RenderText,Enable hover preview in manual mode,手動モードでマウスオーバープレビューを有効化
Artisan,,,Selectable/Text/RenderTextWrapped,Endurance,連続製作
Artisan,,,Text/RenderTextWrapped,"Endurance mode is Artisan's way to repeat the same craft over and over, either so many times or until you run out of materials. It has full capabilities to automatically repair your gear once a piece is under a certain percentage, use food/potions/exp manuals and extract materia from spiritbonding. Please note these settings are independent of crafting list settings, and only intended to be used to craft the one item repeatedly.",連続製作モードは、同じアイテムを指定回数または素材がなくなるまで繰り返し製作する機能です。装備の自動修理、食事／薬／経験値マニュアルの使用、マテリア精製などに対応します。これらは製作リスト設定とは別で、1種類を繰り返し作る用途向けです。
Artisan,,,Checkbox/RenderText,Enforce consumables,消耗品の使用を強制
Artisan,,,Text/RenderTextWrapped,Ensuring reliability may not always work and is very CPU and RAM intensive. 16GB+ of spare RAM is recommended. NO SUPPORT SHALL BE GIVEN IF YOU HAVE THIS ON,成功保証は常に機能するとは限らず、CPUとRAMを非常に多く消費します。空きRAM 16GB以上を推奨します。この設定を有効にしている場合はサポート対象外です。
Artisan,,,RenderText,Execution delay (ms)###ActionDelay,実行遅延（ms）###ActionDelay
Artisan,,,Checkbox/RenderText,Exit Crafting Stance After Completion,完了後に製作状態を解除
Artisan,,,Checkbox/RenderText,Expanded Crafting Log search bar,製作手帳の検索欄を拡張
Artisan,,,Text/RenderTextWrapped,Expert Recipe,高難度レシピ
Artisan,,,Text/RenderTextWrapped,Export,エクスポート
Artisan,,,Checkbox/RenderText,Fallback to another solver if Raphael is locked.,Raphaelが使用不可なら別ソルバーへ切り替え
Artisan,,,Selectable,FC Workshops,FCカンパニークラフト
Artisan,,,Text/RenderTextWrapped,Food Usage:,食事使用：
Artisan,,,Text/RenderTextWrapped,Force ,強制 
Artisan,,,Text/RenderTextWrapped,General,一般
Artisan,,,Text/RenderTextWrapped,Github page.,GitHubページ
Artisan,,,Text/RenderTextWrapped,Got Questions?,質問がありますか？
Artisan,,,Text/RenderTextWrapped,GP,GP
Artisan,,,Checkbox/RenderText,GSM,GSM
Artisan,,,Text/RenderTextWrapped,Here you can change some settings Artisan will use. Some of these can also be toggled during a craft.,Artisanで使用する各種設定を変更できます。一部は製作中にも切り替え可能です。
Artisan,,,Checkbox/RenderText,Hide action tooltips in manual mode,手動モードでアクションツールチップを非表示
Artisan,,,Checkbox/RenderText,Hide mini-menu simulator results,ミニメニューのシミュレーター結果を非表示
Artisan,,,Checkbox/RenderText,Hide Quest Helper,クエストヘルパーを非表示
Artisan,,,Text/RenderTextWrapped,HQable Recipe,HQ作成可能レシピ
Artisan,,,Checkbox/RenderText,"I understand, let me in",理解しました。続行します
Artisan,,,Text/RenderTextWrapped,I would first like to thank you for downloading my little crafting plugin. I have been working on Artisan consistently since June 2022 and it's my magnum opus of a plugin.,まず、この製作プラグインをダウンロードしていただきありがとうございます。Artisanは2022年6月から継続して開発してきた、作者にとって集大成となるプラグインです。
Artisan,,,Text/RenderTextWrapped,icon in the crafting log.,製作手帳内のアイコン
Artisan,,,Text/RenderTextWrapped,"If you do not have the automatic mode enabled, you will have access to 2 more modes. ""Semi-Manual Mode"" and ""Full Manual"". ""Semi-Manual Mode"" will appear in a small pop-up window when you start crafting.",自動モードを有効にしていない場合、「半手動モード」と「完全手動」の2つを利用できます。「半手動モード」は製作開始時に小さなポップアップで表示されます。
Artisan,,,Text/RenderTextWrapped,"If you have questions about things not outlined here, you can drop a question in our",ここに記載されていない内容について質問がある場合は、こちらへ：
Artisan,,,Text/RenderTextWrapped,Import,インポート
Artisan,,,Button,Import List From Clipboard (Artisan Export),クリップボードからリストをインポート（Artisan形式）
