Plugin,Menu,Section,Type,English,Japanese
"YesAlready","","","@Window","YesAlready",""
"YesAlready","","",""," by daemitus, croizat"," by daemitus, croizat"
"YesAlready","","","","Action","アクション"
"YesAlready","","","","Add current target as a new entry","現在のターゲットを新しい項目として追加"
"YesAlready","","","","Add entry","項目を追加"
"YesAlready","","","","Add folder","フォルダを追加"
"YesAlready","","","","Add last seen as new entry","最後に確認した場所を新しい項目として追加"
"YesAlready","","","","Add new entry","新しい項目を追加"
"YesAlready","","","","Add some text here!","ここにテキストを入力してください！"
"YesAlready","","","","Addon Name:","アドオン名："
"YesAlready","","","","AirShipExplorationResult - Finalize","潜水艦探索結果 - 確定"
"YesAlready","","","","AirShipExplorationResult - Redeploy","潜水艦探索結果 - 再出航"
"YesAlready","","","","Alarm","アラームの通知情報"
"YesAlready","","","","All","すべて"
"YesAlready","","","","All Same","すべて同じ"
"YesAlready","","","","Alliance","アライアンス"
"YesAlready","","","","Auto Collectables","自動収集"
"YesAlready","","","","Auto GimmickYesNo","自動ギミックはい・いいえ"
"YesAlready","","","","Auto-fill and confirm Materia Transmutation.","マテリア合成の素材を自動でセットして確定する。"
"YesAlready","","","","Automatically accept collectables that are worth turning in and decline insufficient ones.","納品できる価値のある収集品は自動で受け取り、価値が足りないものは自動で拒否する。"
"YesAlready","","","","Automatically accept quests.","クエストを自動で受注する。"
"YesAlready","","","","Automatically accept the Data Center travel confirmation.","データセンタートラベルの確認を自動で承認する。"
"YesAlready","","","","Automatically cast glamours when using Glamour Prisms.","ミラージュプリズム使用時に自動で投影する。"
"YesAlready","","","","Automatically close the Cosmic Exploration rewards window.","コスモエクスプローラーの報酬ウィンドウを自動で閉じる。"
"YesAlready","","","","Automatically closes the PurifyResult window when done reducing.","精選が完了したら、精選結果ウィンドウを自動で閉じる。"
"YesAlready","","","","Automatically closes the RetainerItemTransferProgress window when finished entrusting items.","アイテムの預け入れが完了したら、リテイナーへのアイテム移動進捗ウィンドウを自動で閉じる。"
"YesAlready","","","","Automatically closes the SalvageResults window when done desynthesizing.","分解が完了したら、分解結果ウィンドウを自動で閉じる。"
"YesAlready","","","","Automatically commence duties when ready, but only once. Requires Contents Finder Confirm, and disables both after activation.","準備が整ったらコンテンツを自動で開始する（1回のみ）。コンテンツファインダー確認が必要で、起動後は両方とも無効になる。"
"YesAlready","","","","Automatically commence duties when ready.","準備が整ったらコンテンツを自動で開始する。"
"YesAlready","","","","Automatically confirm any Yesno dialogs that are part of the GimmickYesNo sheet.
These are mostly the dungeon Yesnos like ""Unlock this door?"" or ""Pickup this item?""","GimmickYesNoシートの「はい／いいえ」ダイアログを自動で確定する。主に「この扉を開けますか？」や「このアイテムを拾いますか？」といったダンジョン内の確認が対象。"
"YesAlready","","","","Automatically confirm quest reward acceptance when there is nothing to choose.","選択するものがない場合、クエスト報酬の受け取りを自動で確定する。"
"YesAlready","","","","Automatically confirm selling Triple Triad cards in the saucer.","ゴールドソーサーでトリプルトライアドのカードを売却する際、自動で確認する。"
"YesAlready","","","","Automatically confirm the exit prompt when leaving Blunderville.","ブランダーヴィルから退出する際の確認を自動で承認する。"
